mmsi,timestamp,lat,lon,sog,cog,vessel_name,imo,vessel_type,type_code,length,width,draught
311742512,2019-01-11T02:05:00Z,35.700312,30.552482,18.0,157.2,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
352353243,2019-01-11T02:05:00Z,31.312229,29.72955,11.6,8.0,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
636724911,2019-01-11T02:05:00Z,34.736919,27.281094,10.9,75.1,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205656551,2019-01-11T03:05:00Z,35.316323,30.745217,12.4,184.1,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T03:05:00Z,32.986882,34.641007,14.7,36.5,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
211965576,2019-01-11T03:05:00Z,30.795532,32.639263,12.3,49.1,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
240532237,2019-01-11T03:05:00Z,31.262767,31.553733,16.1,34.5,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240931109,2019-01-11T03:05:00Z,31.504692,32.018961,14.3,300.2,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T03:05:00Z,30.784791,32.323325,11.7,307.6,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-11T03:05:00Z,35.688813,30.532299,17.3,161.6,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T03:05:00Z,34.031253,35.283082,11.6,247.1,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T03:05:00Z,33.962389,35.257163,13.0,276.8,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T03:05:00Z,31.337669,29.7569,13.4,7.2,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
636724911,2019-01-11T03:05:00Z,34.75361,27.348312,9.7,72.1,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205656551,2019-01-11T04:05:00Z,35.272904,30.819479,14.0,179.7,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T04:05:00Z,33.008967,34.592785,11.1,53.7,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
211965576,2019-01-11T04:05:00Z,30.8511,32.702629,10.0,57.0,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T04:05:00Z,33.478709,35.960108,11.9,281.5,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240532237,2019-01-11T04:05:00Z,31.290357,31.57396,17.6,29.0,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T04:05:00Z,31.950266,29.576661,15.7,354.1,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T04:05:00Z,31.486822,31.914495,10.1,312.9,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T04:05:00Z,30.822336,32.311226,14.1,300.6,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-11T04:05:00Z,35.622794,30.577121,18.3,148.4,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T04:05:00Z,33.983294,35.164825,14.2,244.7,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T04:05:00Z,33.976319,35.155927,12.7,270.1,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T04:05:00Z,31.433233,29.713727,12.5,3.0,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
636724911,2019-01-11T04:05:00Z,34.792362,27.349682,12.3,75.1,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205656551,2019-01-11T05:05:00Z,35.16933,30.756538,12.1,180.4,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T05:05:00Z,33.003438,34.635973,10.0,36.9,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
211965576,2019-01-11T05:05:00Z,30.885958,32.803308,14.9,58.4,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T05:05:00Z,33.587189,35.860609,10.6,279.8,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240532237,2019-01-11T05:05:00Z,31.258714,31.597091,19.3,40.9,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T05:05:00Z,31.994076,29.546873,16.8,10.6,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T05:05:00Z,31.551489,31.881319,12.0,316.7,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T05:05:00Z,30.833256,32.249777,11.4,311.9,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-11T05:05:00Z,35.561543,30.623681,15.1,160.3,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T05:05:00Z,34.036775,35.118474,11.9,249.2,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T05:05:00Z,33.946628,35.108731,13.9,279.1,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T05:05:00Z,31.515081,29.749471,12.2,6.4,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
370490495,2019-01-11T05:05:00Z,35.95578,29.967041,13.1,248.0,GLOBAL TRADER Y71,9675325,Bulk Carrier,70,263,45,15.0
636724911,2019-01-11T05:05:00Z,34.766236,27.481657,12.6,67.0,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205656551,2019-01-11T06:05:00Z,35.05232,30.777864,13.9,191.9,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T06:05:00Z,33.072496,34.671059,14.3,42.6,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
211965576,2019-01-11T06:05:00Z,30.902757,32.868587,12.6,60.4,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T06:05:00Z,33.550973,35.788049,12.9,294.8,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240532237,2019-01-11T06:05:00Z,31.304304,31.643266,18.9,35.7,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T06:05:00Z,32.061139,29.535448,18.9,7.3,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T06:05:00Z,31.615221,31.846832,13.0,315.6,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T06:05:00Z,30.931273,32.186743,12.6,300.3,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-11T06:05:00Z,35.507187,30.601197,15.9,150.7,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T06:05:00Z,33.971901,35.056811,11.9,248.3,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T06:05:00Z,34.048811,34.97293,11.8,273.1,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T06:05:00Z,31.552877,29.78245,12.4,1.3,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
370490495,2019-01-11T06:05:00Z,35.90894,29.946978,12.5,252.6,GLOBAL TRADER Y71,9675325,Bulk Carrier,70,263,45,15.0
636277075,2019-01-11T06:05:00Z,31.966934,35.051115,13.9,350.5,NORDIC HORIZON U70,9709935,Crude Oil Tanker,80,269,21,5.8
636724911,2019-01-11T06:05:00Z,34.865147,27.499379,12.3,79.7,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205315575,2019-01-11T07:05:00Z,30.870124,30.136773,13.4,59.4,CMA CGM CARRIER H54,9152033,Crude Oil Tanker,80,220,35,8.7
205656551,2019-01-11T07:05:00Z,35.003644,30.790751,14.5,193.5,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T07:05:00Z,33.049031,34.685315,11.6,35.5,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
211272986,2019-01-11T07:05:00Z,32.854267,34.42163,12.3,223.5,PACIFIC OASIS D22,9151629,Crude Oil Tanker,80,125,45,7.0
211965576,2019-01-11T07:05:00Z,31.029871,32.983319,12.2,50.9,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T07:05:00Z,33.587704,35.656454,13.7,281.6,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240419020,2019-01-11T07:05:00Z,30.435599,32.407305,12.3,26.7,MT FALCON L24,9100062,Product Tanker,81,349,39,7.9
240532237,2019-01-11T07:05:00Z,31.318319,31.627842,18.3,47.3,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T07:05:00Z,32.070164,29.588548,18.4,354.3,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T07:05:00Z,31.715952,31.709996,12.6,315.2,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T07:05:00Z,30.929628,32.139344,11.4,307.2,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311402850,2019-01-11T07:05:00Z,35.407832,33.516482,11.7,122.5,MINERVA OASIS P83,9493193,Crude Oil Tanker,80,305,30,5.7
311742512,2019-01-11T07:05:00Z,35.403183,30.622084,17.9,158.3,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T07:05:00Z,33.940349,35.009879,12.5,249.8,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T07:05:00Z,34.048217,34.90844,13.7,286.1,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T07:05:00Z,31.589874,29.768078,13.9,4.6,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
370490495,2019-01-11T07:05:00Z,35.946793,29.829339,11.1,251.1,GLOBAL TRADER Y71,9675325,Bulk Carrier,70,263,45,15.0
636277075,2019-01-11T07:05:00Z,31.990172,35.079954,10.5,349.7,NORDIC HORIZON U70,9709935,Crude Oil Tanker,80,269,21,5.8
636724911,2019-01-11T07:05:00Z,34.808656,27.646434,9.1,69.1,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205315575,2019-01-11T08:05:00Z,30.980808,30.320743,12.2,58.7,CMA CGM CARRIER H54,9152033,Crude Oil Tanker,80,220,35,8.7
205656551,2019-01-11T08:05:00Z,34.932004,30.705153,13.0,184.1,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T08:05:00Z,33.082927,34.656767,14.7,51.9,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
211272986,2019-01-11T08:05:00Z,32.873873,34.39136,12.3,223.1,PACIFIC OASIS D22,9151629,Crude Oil Tanker,80,125,45,7.0
211965576,2019-01-11T08:05:00Z,31.07517,33.017903,11.8,61.1,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T08:05:00Z,33.615021,35.555504,14.9,290.2,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240419020,2019-01-11T08:05:00Z,30.619655,32.479051,12.0,7.9,MT FALCON L24,9100062,Product Tanker,81,349,39,7.9
240532237,2019-01-11T08:05:00Z,31.351835,31.703961,17.0,28.3,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T08:05:00Z,32.15289,29.553086,17.3,9.1,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T08:05:00Z,31.768347,31.701151,14.4,316.1,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T08:05:00Z,31.005833,32.099798,12.3,304.2,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311402850,2019-01-11T08:05:00Z,35.393849,33.553265,10.8,131.6,MINERVA OASIS P83,9493193,Crude Oil Tanker,80,305,30,5.7
311463974,2019-01-11T08:05:00Z,31.895963,31.951532,9.4,160.9,STENA OASIS G46,9793254,Fishing,30,172,37,15.4
311742512,2019-01-11T08:05:00Z,35.423055,30.636105,16.5,167.4,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T08:05:00Z,33.9102,34.935362,12.1,247.0,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T08:05:00Z,33.988459,34.83907,12.6,284.2,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T08:05:00Z,31.560072,29.784118,13.1,13.0,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
370238324,2019-01-11T08:05:00Z,30.584975,31.988016,17.8,308.8,EVER JEWEL W55,9639184,LNG Carrier,84,100,19,12.2
370490495,2019-01-11T08:05:00Z,35.869593,29.811397,11.2,251.0,GLOBAL TRADER Y71,9675325,Bulk Carrier,70,263,45,15.0
636277075,2019-01-11T08:05:00Z,32.08273,35.087899,12.7,346.7,NORDIC HORIZON U70,9709935,Crude Oil Tanker,80,269,21,5.8
636724911,2019-01-11T08:05:00Z,34.8968,27.688151,12.8,75.1,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205315575,2019-01-11T09:05:00Z,31.09416,30.385041,14.5,47.2,CMA CGM CARRIER H54,9152033,Crude Oil Tanker,80,220,35,8.7
205656551,2019-01-11T09:05:00Z,34.896749,30.758517,14.0,182.3,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T09:05:00Z,33.111773,34.725847,12.0,47.3,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
205915806,2019-01-11T09:05:00Z,34.172437,35.967491,12.6,284.7,CMA CGM CARRIER X86,9571558,Product Tanker,81,254,23,15.0
211272986,2019-01-11T09:05:00Z,32.758502,34.360327,13.1,229.8,PACIFIC OASIS D22,9151629,Crude Oil Tanker,80,125,45,7.0
211633555,2019-01-11T09:05:00Z,32.257743,35.747871,10.2,305.5,OCEAN FALCON V56,9269105,General Cargo,70,221,44,8.5
211965576,2019-01-11T09:05:00Z,31.082012,33.045915,11.5,62.6,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T09:05:00Z,33.646332,35.564082,13.9,286.2,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240419020,2019-01-11T09:05:00Z,30.647488,32.55602,13.3,12.2,MT FALCON L24,9100062,Product Tanker,81,349,39,7.9
240532237,2019-01-11T09:05:00Z,31.39974,31.661039,16.1,45.0,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T09:05:00Z,32.126293,29.558419,15.5,352.7,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T09:05:00Z,31.759296,31.650559,13.8,307.3,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T09:05:00Z,30.974194,32.08826,13.9,305.4,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
256408151,2019-01-11T09:05:00Z,35.510552,29.772467,12.7,103.1,GLOBAL STAR Z35,9185825,Product Tanker,81,212,51,7.1
256881096,2019-01-11T09:05:00Z,35.426903,29.38188,10.0,97.3,CMA CGM TRADER V68,9256025,General Cargo,70,237,40,15.2
311402850,2019-01-11T09:05:00Z,35.388143,33.586194,12.0,129.8,MINERVA OASIS P83,9493193,Crude Oil Tanker,80,305,30,5.7
311463974,2019-01-11T09:05:00Z,31.909481,31.961469,9.1,151.0,STENA OASIS G46,9793254,Fishing,30,172,37,15.4
311742512,2019-01-11T09:05:00Z,35.380092,30.749908,16.3,153.3,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T09:05:00Z,33.82776,34.879662,13.4,248.5,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T09:05:00Z,34.007159,34.791642,14.1,275.6,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T09:05:00Z,31.629366,29.73148,13.4,6.6,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
370238324,2019-01-11T09:05:00Z,30.674164,31.873576,18.1,309.3,EVER JEWEL W55,9639184,LNG Carrier,84,100,19,12.2
370490495,2019-01-11T09:05:00Z,35.843141,29.722165,10.7,254.3,GLOBAL TRADER Y71,9675325,Bulk Carrier,70,263,45,15.0
636277075,2019-01-11T09:05:00Z,32.057553,35.116716,13.8,355.9,NORDIC HORIZON U70,9709935,Crude Oil Tanker,80,269,21,5.8
636724911,2019-01-11T09:05:00Z,34.949909,27.790054,12.2,63.7,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205315575,2019-01-11T10:05:00Z,31.124685,30.588704,13.5,56.9,CMA CGM CARRIER H54,9152033,Crude Oil Tanker,80,220,35,8.7
205656551,2019-01-11T10:05:00Z,34.728171,30.775755,12.9,187.3,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T10:05:00Z,33.073984,34.735814,10.8,37.5,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
205915806,2019-01-11T10:05:00Z,34.124883,35.837388,12.0,285.6,CMA CGM CARRIER X86,9571558,Product Tanker,81,254,23,15.0
211272986,2019-01-11T10:05:00Z,32.718832,34.370351,15.0,232.1,PACIFIC OASIS D22,9151629,Crude Oil Tanker,80,125,45,7.0
211633555,2019-01-11T10:05:00Z,32.348206,35.711769,12.4,296.0,OCEAN FALCON V56,9269105,General Cargo,70,221,44,8.5
211965576,2019-01-11T10:05:00Z,31.19319,33.12345,11.5,63.7,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T10:05:00Z,33.679461,35.458242,13.5,297.1,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240419020,2019-01-11T10:05:00Z,30.768238,32.564879,11.6,13.5,MT FALCON L24,9100062,Product Tanker,81,349,39,7.9
240532237,2019-01-11T10:05:00Z,31.446223,31.72375,21.4,43.2,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T10:05:00Z,32.153976,29.533556,16.2,11.3,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T10:05:00Z,31.855736,31.585457,14.8,304.2,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T10:05:00Z,31.055978,32.07167,10.5,304.6,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
256408151,2019-01-11T10:05:00Z,35.501237,29.842999,12.5,104.6,GLOBAL STAR Z35,9185825,Product Tanker,81,212,51,7.1
256881096,2019-01-11T10:05:00Z,35.440715,29.498896,10.5,99.6,CMA CGM TRADER V68,9256025,General Cargo,70,237,40,15.2
311402850,2019-01-11T10:05:00Z,35.344493,33.677687,10.2,121.2,MINERVA OASIS P83,9493193,Crude Oil Tanker,80,305,30,5.7
311463974,2019-01-11T10:05:00Z,31.890305,31.912041,9.1,155.1,STENA OASIS G46,9793254,Fishing,30,172,37,15.4
311742512,2019-01-11T10:05:00Z,35.298175,30.717936,16.6,161.9,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
311829979,2019-01-11T10:05:00Z,33.820115,34.809845,12.4,236.8,MAERSK SPIRIT S33,9177331,Chemical Tanker,82,275,29,7.5
352283714,2019-01-11T10:05:00Z,34.011599,34.629863,10.7,282.1,STENA SPIRIT B59,9554396,Chemical Tanker,82,110,39,5.7
352353243,2019-01-11T10:05:00Z,31.67615,29.79602,13.4,9.9,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
370238324,2019-01-11T10:05:00Z,30.748556,31.780809,17.6,308.5,EVER JEWEL W55,9639184,LNG Carrier,84,100,19,12.2
370490495,2019-01-11T10:05:00Z,35.864626,29.724794,12.9,243.5,GLOBAL TRADER Y71,9675325,Bulk Carrier,70,263,45,15.0
636277075,2019-01-11T10:05:00Z,32.080081,35.080995,13.3,2.6,NORDIC HORIZON U70,9709935,Crude Oil Tanker,80,269,21,5.8
636724911,2019-01-11T10:05:00Z,34.940418,27.788942,9.6,62.1,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205315575,2019-01-11T11:05:00Z,31.282976,30.690399,11.5,56.9,CMA CGM CARRIER H54,9152033,Crude Oil Tanker,80,220,35,8.7
205656551,2019-01-11T11:05:00Z,34.686453,30.693871,10.8,192.1,SEASPAN NAVIGATOR Q21,9492981,Chemical Tanker,82,222,55,13.5
205831273,2019-01-11T11:05:00Z,33.120037,34.750135,14.6,40.8,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
205915806,2019-01-11T11:05:00Z,34.177143,35.775465,13.9,286.4,CMA CGM CARRIER X86,9571558,Product Tanker,81,254,23,15.0
211272986,2019-01-11T11:05:00Z,32.688809,34.345796,12.1,221.9,PACIFIC OASIS D22,9151629,Crude Oil Tanker,80,125,45,7.0
211633555,2019-01-11T11:05:00Z,32.415286,35.543807,10.6,291.1,OCEAN FALCON V56,9269105,General Cargo,70,221,44,8.5
211965576,2019-01-11T11:05:00Z,31.180319,33.245479,10.2,62.8,MINERVA CARRIER K35,9482929,Crude Oil Tanker,80,238,37,9.5
235275936,2019-01-11T11:05:00Z,33.722654,35.412186,12.7,281.3,MINERVA LEADER M77,9414694,Crude Oil Tanker,80,195,22,13.9
240419020,2019-01-11T11:05:00Z,30.832918,32.560354,12.6,23.3,MT FALCON L24,9100062,Product Tanker,81,349,39,7.9
240532237,2019-01-11T11:05:00Z,31.479357,31.759766,17.4,30.9,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240746963,2019-01-11T11:05:00Z,32.232722,29.580861,15.0,353.1,MT SPIRIT E62,9305662,LNG Carrier,84,298,43,16.2
240931109,2019-01-11T11:05:00Z,31.90962,31.525499,11.1,319.1,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T11:05:00Z,31.105206,31.994947,11.9,317.3,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
256408151,2019-01-11T11:05:00Z,35.423363,29.891609,11.5,103.3,GLOBAL STAR Z35,9185825,Product Tanker,81,212,51,7.1
